,h,ecc,anomalia_verdadeira,raan,inc,arg_per,q0,q1,q2,q3,wx3,wy3,wz3,X_perifocal,Y_perifocal,Z_perifocal,distancia
33,52709.25603744317,0.0016905649254245684,0.14762328521299498,-2.0301484497816437e-05,1.0994854777548997,0.22256445948803993,0.8383623741151804,-0.09521863338669599,0.5137491236046492,0.15538268753817736,0.0,0.0,0.0010780070154523262,6882.7400729669425,1023.498434096266,0,6958.423668951359
34,52708.83351127613,0.0016731752649651193,0.15402387061729123,-2.210977920640991e-05,1.099481392550623,0.22705057201283435,0.8375126818111233,-0.09798636261020577,0.5132284314910464,0.15989921114107739,0.0,0.0,0.0010780070154523262,6876.067026357007,1067.533665382803,0,6958.442776776981
35,52708.40124108671,0.0016554128752470055,0.16063732689983046,-2.401907775084468e-05,1.099477213059452,0.2313237114703256,0.8366386577474622,-0.10075124509399108,0.5126928288559814,0.16441108928695525,0.0,0.0,0.0010780070154523262,6868.876082673452,1112.987710609835,0,6958.46249419309
36,52707.959432283846,0.001637289905050355,0.1674752510974759,-2.603166042686279e-05,1.0994729412622402,0.23537227796292184,0.8357403273163373,-0.1035132005115179,0.5121423312597781,0.16891819089482077,0.0,0.0,0.0010780070154523262,6861.125079248578,1159.9335676846802,0,6958.482825626253
37,52707.50829479976,0.001618819007934349,0.17454985043730462,-2.8149758548150204e-05,1.0994685791836127,0.239184061409796,0.834817716616411,-0.10627214862133101,0.5115769546957173,0.17342038502252013,0.0,0.0,0.0010780070154523262,6852.768015275633,1208.4474848196232,0,6958.503775579317
38,52707.04804298932,0.0016000133640248792,0.1818739814283151,-3.0375553386192816e-05,1.0994641288910054,0.24274620245538509,0.8338708524517454,-0.10902800926934494,0.5109967155893486,0.17791754087047348,0.0,0.0,0.0010780070154523262,6843.754683628862,1258.6090965032097,0,6958.525348627582
39,52706.57889552755,0.0015808867038178641,0.1894611909638522,-3.271117513223557e-05,1.0994595924936879,0.24604515136717156,0.8328997623310246,-0.11178070239117234,0.5104016307980159,0.18240952778547526,0.0,0.0,0.0010780070154523262,6834.030265846659,1310.5015539707965,0,6958.547549414894
40,52706.10107530488,0.0015614533341619147,0.19732575943058506,-3.515870188328976e-05,1.099454972141759,0.2490666249269155,0.8319044744667542,-0.11453014801445001,0.5097917176103651,0.1868962152644897,0.0,0.0,0.0010780070154523262,6823.534886828795,1364.2116472597777,0,6958.570382649649
41,52705.614809320665,0.0015417281666002818,0.20548274578074363,-3.7720158652677385e-05,1.0994502700251345,0.25179556135862935,0.8308850177744436,-0.11727626626116251,0.5091669937458427,0.1913774729584426,0.0,0.0,0.0010780070154523262,6812.203125583656,1419.8299152363386,0,6958.593853100767
42,52705.12032857439,0.0015217267482621527,0.21394803447827204,-4.039751640558888e-05,1.0994454883725024,0.2542160733826363,0.8298414218717639,-0.12001897734996265,0.5085274773541812,0.19585317067600794,0.0,0.0,0.0010780070154523262,6799.96347816604,1477.4507391749623,0,6958.6179655935
