,X_ECI,Y_ECI,Z_ECI,r,Data
25,-6651.002370972047,804.8633262359128,1006.4396444942818,6774.699865721367,2022-11-10 18:43:20
26,-6754.173605749491,337.40306614056226,407.76978188314774,6774.878457999167,2022-11-10 18:45:00
27,-6770.733698040179,-134.3733678709093,-196.1306446883359,6774.906511646907,2022-11-10 18:46:40
28,-6700.475429275223,-604.41630213649,-797.4955429269803,6774.7833312658595,2022-11-10 18:48:20
29,-6544.308672595062,-1066.699491448637,-1388.5929766051577,6774.512105084535,2022-11-10 18:50:00
30,-6304.247792558701,-1515.2981079338347,-1961.8254997826252,6774.099783549579,2022-11-10 18:51:40
31,-5983.38436282862,-1944.4651662662434,-2509.8284231319185,6773.556815272587,2022-11-10 18:53:20
32,-5585.84574145073,-2348.7052958030135,-3025.5646099392034,6772.896752699906,2022-11-10 18:55:00
33,-5116.740281396595,-2722.844852411358,-3502.414505707774,6772.135746377339,2022-11-10 18:56:40
34,-4582.090149842105,-3062.0974665424424,-3934.2602394787177,6771.291949682042,2022-11-10 18:58:20
35,-3988.7528819051677,-3362.124243499931,-4315.5627890096275,6770.3848611080675,2022-11-10 19:00:00
36,-3344.332896877014,-3619.0879566484714,-4641.431362847003,6769.434633639031,2022-11-10 19:01:40
37,-2657.084261751179,-3829.7006965319083,-4907.684309891249,6768.461382368635,2022-11-10 19:03:20
38,-1935.8060041822735,-3991.2645505198266,-5110.901010797793,6767.484520871716,2022-11-10 19:05:00
39,-1189.7312660910866,-4101.704983823396,-5248.464329818831,6766.5221555254675,2022-11-10 19:06:40
40,-428.4115613619397,-4159.596670857356,-5318.593306730116,6765.59056494779,2022-11-10 19:08:20
41,338.40263038686544,-4164.181583596177,-5320.3658430704645,6764.703785497574,2022-11-10 19:10:00
42,1100.8837243703879,-4115.379187480709,-5253.731194453521,6763.8733204360815,2022-11-10 19:11:40
43,1849.2501399119403,-4013.7886247841775,-5119.512119504574,6763.10797978011,2022-11-10 19:13:20
44,2573.8894342152107,-3860.682798115008,-4919.396579429676,6762.413858448049,2022-11-10 19:15:00
45,3265.4801924215444,-3657.9942955785323,-4655.918920721627,6761.79444747592,2022-11-10 19:16:40
46,3915.111338850197,-3408.2931433639196,-4332.430532058099,6761.250865173109,2022-11-10 19:18:20
47,4514.3974577713725,-3114.756436942416,-3953.0600520817648,6760.7821916973135,2022-11-10 19:20:00
48,5055.588638120526,-2781.1299904021753,-3522.663319644128,6760.385888762116,2022-11-10 19:21:40
49,5531.6732888931,-2411.6822507305833,-3046.7633972758804,6760.058272864399,2022-11-10 19:23:20
50,5936.472348743271,-2011.1508633296733,-2531.4811793656663,6759.79501937357,2022-11-10 19:25:00
51,6264.723311320107,-1584.6824233137868,-1983.4572854250623,6759.591655807545,2022-11-10 19:26:40
52,6512.152580135744,-1137.7661163296566,-1409.7661596498474,6759.444029454669,2022-11-10 19:28:20
53,6675.534774892213,-676.162110395778,-817.8234967560484,6759.3487113904985,2022-11-10 19:30:00
54,6752.737818871189,-205.8257156146825,-215.28831435948604,6759.303317200765,2022-11-10 19:31:40
55,6742.75288537639,267.17154255253587,390.03884436698957,6759.306725287488,2022-11-10 19:33:20
